Nd	CaAl4O7	1.05895	-0- 	4F3/2	4I11/2	2100	0.4	0.28	3.5	P	77	6X25	Xe	70	10/30/1987	7000
Nd	CaAl4O7	1.06585	-0- 	4F3/2	4I11/2	2100	0.4	0.28	1.7	P	77	6X25	Xe	10	10/30/1987	7000
Nd	CaAl4O7	1.07655	-0- 	4F3/2	4I11/2	2100	0.4	0.28	4.8	P	77	6X25	Xe	35	10/30/1987	7000
Nd	CaAl4O7	1.0772	-0- 	4F3/2	4I11/2	2100	0.4	0.28	6.2	P	77	6X25	Xe	40	10/30/1987	7000
Nd	CaAl4O7	1.342	-0- 	4F3/2	4I13/2	4100	0.4	0.28	16	P	300	6x25	Xe	21	10/30/1987	7000
Nd	CaAl4O7	1.371	-0- 	4F3/2	4I13/2	4300	0.4	0.28	20	P	300	6x25	Xe	15	10/30/1987	7000
Nd	CaAl4O7	1.34	-0- 	4F3/2	4I13/2	4100	0.4	0.28	4	P	77	6x25	Xe	65	10/30/1987	7000
Nd	CaAl4O7	1.3675	-0- 	4F3/2	4I13/2	4100	0.4	0.28	6	P	77	6x25	Xe	50	10/30/1987	7000
Nd	CaAl12O19	1.0497	-0- 	4F3/2	4I11/2	2000	1.5	0.34	20	P	300	6X25	Xe	50	4/27/1988	7011
Nd	Ca.25Ba.75Nb2O6	1.062	-0- 	4F3/2	4I11/2	2000	1.125	-0- 	-0- 	P	295	-0- 	Xe	380	4/27/1988	7012
Nd	CaF2(I)	1.0488	-0- 	4F3/2	4I11/2	2034	0.5	1.1	9	p	120	3x25	Xe	78	4/27/1988	7013
Nd	CaF2(I)	1.0661	-0- 	4F3/2	4I11/2	-0- 	0.5	1.1	-0- 	p	120	3x25	Xe	-0- 	4/27/1988	7013
Nd	CaF2(I)	1.0448	-0- 	4F3/2	4I11/2	2031	0.5	1.1	2	p	77	6.35x75	Xe	400	4/27/1988	7013
Nd	CaF2(I)	1.0457	-0- 	4F3/2	4I11/2	2032	0.5	1.1	2	p	77	6.35x75	Xe	30	4/27/1988	7013
Nd	CaF2(I)	1.0467	-0- 	4F3/2	4I11/2	2028	0.5	1.1	2	p	77	6.35x75	Xe	160	4/27/1988	7013
Nd	CaF2(I)	1.0488	-0- 	4F3/2	4I11/2	2031	0.5	1.1	2	p	50	6.35x75	Xe	240	4/27/1988	7013
Nd	CaF2(I)	1.0456	-0- 	4F3/2	4I11/2	2032	0.5	1.1	2	p	50	6.35x75	Xe	70	4/27/1988	7013
